"Date","Price","Open","High","Low","Vol.","Change %"
"19-11-2013","4,719.27","4,719.27","4,719.27","4,719.27","","0.15%"
"18-11-2013","4,712.29","4,712.29","4,712.29","4,712.29","","1.03%"
"14-11-2013","4,664.11","4,664.11","4,664.11","4,664.11","","0.98%"
"13-11-2013","4,618.65","4,618.65","4,618.65","4,618.65","","-0.08%"
"12-11-2013","4,622.29","4,622.29","4,622.29","4,622.29","","-0.64%"
"11-11-2013","4,652.00","4,652.00","4,652.00","4,652.00","","-0.55%"
"08-11-2013","4,677.58","4,677.58","4,677.58","4,677.58","","0.03%"
"07-11-2013","4,676.24","4,676.24","4,676.24","4,676.24","","-1.14%"
"06-11-2013","4,729.98","4,729.98","4,729.98","4,729.98","","0.06%"
"05-11-2013","4,726.95","4,726.95","4,726.95","4,726.95","","-0.73%"
"03-11-2013","4,761.63","4,761.63","4,761.63","4,761.63","","0.65%"
"01-11-2013","4,731.10","4,731.10","4,731.10","4,731.10","","0.18%"
"31-10-2013","4,722.66","4,722.66","4,722.66","4,722.66","","0.43%"
"30-10-2013","4,702.35","4,702.35","4,702.35","4,702.35","","0.56%"
"29-10-2013","4,676.28","4,676.28","4,676.28","4,676.28","","1.30%"
"28-10-2013","4,616.27","4,616.27","4,616.27","4,616.27","","-1.01%"
"25-10-2013","4,663.27","4,663.27","4,663.27","4,663.27","","-0.38%"
"24-10-2013","4,681.16","4,681.16","4,681.16","4,681.16","","-0.26%"
"23-10-2013","4,693.31","4,693.31","4,693.31","4,693.31","","-0.01%"
"22-10-2013","4,693.95","4,693.95","4,693.95","4,693.95","","0.87%"
"21-10-2013","4,653.27","4,653.27","4,653.27","4,653.27","","0.66%"
"18-10-2013","4,622.68","4,622.68","4,622.68","4,622.68","","0.87%"
"17-10-2013","4,583.00","4,583.00","4,583.00","4,583.00","","-0.85%"
"15-10-2013","4,622.48","4,622.48","4,622.48","4,622.48","","-1.03%"
"14-10-2013","4,670.41","4,670.41","4,670.41","4,670.41","","0.37%"
"11-10-2013","4,653.17","4,653.17","4,653.17","4,653.17","","0.06%"
"10-10-2013","4,650.21","4,650.21","4,650.21","4,650.21","","0.83%"
"09-10-2013","4,611.78","4,611.78","4,611.78","4,611.78","","1.69%"
"08-10-2013","4,535.27","4,535.27","4,535.27","4,535.27","","-0.05%"
"07-10-2013","4,537.39","4,537.39","4,537.39","4,537.39","","0.50%"
"04-10-2013","4,515.02","4,515.02","4,515.02","4,515.02","","0.27%"
"03-10-2013","4,502.67","4,502.67","4,502.67","4,502.67","","1.40%"
"01-10-2013","4,440.30","4,440.30","4,440.30","4,440.30","","0.55%"
"30-09-2013","4,415.82","4,415.82","4,415.82","4,415.82","","-0.47%"
"27-09-2013","4,436.55","4,436.55","4,436.55","4,436.55","","0.45%"
"26-09-2013","4,416.50","4,416.50","4,416.50","4,416.50","","-0.32%"
"25-09-2013","4,430.75","4,430.75","4,430.75","4,430.75","","0.24%"
"24-09-2013","4,420.22","4,420.22","4,420.22","4,420.22","","0.42%"
"23-09-2013","4,401.92","4,401.92","4,401.92","4,401.92","","-0.49%"
"20-09-2013","4,423.46","4,423.46","4,423.46","4,423.46","","-0.91%"
"19-09-2013","4,464.11","4,464.11","4,464.11","4,464.11","","2.26%"
"18-09-2013","4,365.33","4,365.33","4,365.33","4,365.33","","1.55%"
"17-09-2013","4,298.78","4,298.78","4,298.78","4,298.78","","-0.40%"
"16-09-2013","4,316.11","4,316.11","4,316.11","4,316.11","","-0.49%"
"13-09-2013","4,337.36","4,337.36","4,337.36","4,337.36","","-0.31%"
