"Date","Price","Open","High","Low","Vol.","Change %"
"15-12-2021","173.79","175.38","175.79","172.65","11.21K","-0.10%"
"14-12-2021","173.97","175.90","176.48","173.25","7.75K","-0.17%"
"13-12-2021","174.27","174.45","177.80","173.67","41.89K","-0.10%"
"10-12-2021","174.45","174.99","175.80","173.50","6.44K","0.48%"
"09-12-2021","173.61","173.00","174.99","171.01","26.97K","0.42%"
"08-12-2021","172.89","173.80","173.80","171.71","5.45K","1.28%"
"07-12-2021","170.70","171.99","171.99","169.30","10.63K","0.34%"
"06-12-2021","170.12","174.90","174.90","170.00","31.17K","-1.52%"
"03-12-2021","172.75","175.39","175.80","172.36","21.38K","-0.37%"
"02-12-2021","173.39","171.99","174.99","170.01","45.09K","1.78%"
"01-12-2021","170.36","173.99","177.70","170.10","101.88K","-1.03%"
"30-11-2021","172.13","172.89","178.00","171.16","108.30K","0.61%"
"29-11-2021","171.08","173.69","174.00","169.50","84.29K","-0.28%"
"26-11-2021","171.56","173.95","173.95","171.27","18.34K","-0.78%"
"25-11-2021","172.91","175.29","175.94","172.00","10.85K","-0.28%"
"24-11-2021","173.39","176.00","180.00","173.10","73.22K","-0.78%"
"23-11-2021","174.76","175.49","175.54","172.00","39.54K","0.81%"
"22-11-2021","173.36","178.69","179.00","173.00","17.38K","-2.00%"
"18-11-2021","176.90","179.80","179.80","175.20","13.01K","-0.82%"
"17-11-2021","178.37","180.99","180.99","177.10","10.46K","-0.45%"
"16-11-2021","179.17","181.99","181.99","178.11","20.83K","-0.43%"
"15-11-2021","179.94","180.99","180.99","174.60","157.65K","0.62%"
"12-11-2021","178.83","178.69","178.93","176.84","13.63K","1.13%"
"11-11-2021","176.84","178.98","179.78","175.10","11.63K","-0.86%"
"10-11-2021","178.37","179.79","179.79","177.00","37.31K","-0.19%"
"09-11-2021","178.71","179.49","179.50","177.40","5.66K","0.49%"
"08-11-2021","177.84","178.69","179.00","175.30","22.54K","0.86%"
"04-11-2021","176.33","177.69","178.00","174.25","5.55K","0.37%"
"03-11-2021","175.68","177.49","177.74","175.08","11.63K","-0.06%"
"02-11-2021","175.79","177.99","178.90","175.51","11.72K","-0.32%"
"01-11-2021","176.35","176.49","176.80","173.41","17.20K","1.16%"
"29-10-2021","174.32","174.99","175.81","172.55","34.11K","0.40%"
"28-10-2021","173.63","177.50","177.50","173.11","14.35K","-1.05%"
"27-10-2021","175.48","176.49","181.75","175.01","49.89K","0.55%"
"26-10-2021","174.52","172.33","178.00","172.33","42.25K","0.89%"
"25-10-2021","172.98","175.12","177.99","171.65","71.39K","-1.22%"
"22-10-2021","175.12","178.49","178.80","174.01","19.81K","-0.56%"
"21-10-2021","176.11","181.00","181.00","175.25","62.46K","-1.81%"
"20-10-2021","179.36","183.95","183.99","178.65","46.19K","-1.60%"
"19-10-2021","182.28","183.74","185.99","181.75","12.78K","-0.79%"
"18-10-2021","183.74","185.99","187.98","180.05","12.34K","-0.11%"
"14-10-2021","183.94","189.70","189.70","181.60","11.97K","1.09%"
"13-10-2021","181.96","182.00","182.20","180.95","38.36K","0.78%"
"12-10-2021","180.55","182.00","182.00","179.77","15.10K","-0.29%"
"11-10-2021","181.07","182.99","182.99","180.00","66.08K","-0.07%"
"08-10-2021","181.19","181.90","181.90","180.00","35.39K","0.47%"
"07-10-2021","180.35","181.00","181.00","179.03","18.72K","0.74%"
"06-10-2021","179.03","182.00","182.00","178.20","27.40K","-0.98%"
"05-10-2021","180.80","181.95","182.00","179.12","19.81K","0.32%"
"04-10-2021","180.23","180.49","180.49","178.20","41.47K","1.14%"
"01-10-2021","178.19","179.99","181.00","175.95","70.72K","-0.35%"
"30-09-2021","178.82","181.97","181.97","178.01","37.44K","-0.47%"
"29-09-2021","179.67","180.99","182.00","178.01","46.37K","0.16%"
"28-09-2021","179.39","182.00","184.00","178.80","23.16K","-1.10%"
"27-09-2021","181.38","186.00","186.00","181.10","20.11K","-1.61%"
"24-09-2021","184.35","183.52","185.30","182.12","12.29K","0.45%"
"23-09-2021","183.52","184.98","186.97","183.00","19.41K","0.37%"
"22-09-2021","182.85","187.70","187.70","180.52","207.00K","0.53%"
"21-09-2021","181.89","183.98","183.98","180.00","1.25M","0.01%"
"20-09-2021","181.87","183.77","183.98","181.00","14.32K","-1.03%"
"17-09-2021","183.77","186.00","186.00","181.90","8.47K","0.75%"
"16-09-2021","182.40","185.95","186.97","181.20","20.35K","-0.73%"
"15-09-2021","183.74","189.70","189.70","180.05","8.64K","1.13%"
"14-09-2021","181.69","184.45","187.00","181.00","15.57K","-1.50%"
"13-09-2021","184.46","181.98","187.00","178.00","9.69K","2.75%"
"09-09-2021","179.53","182.97","183.98","177.91","5.17K","0.35%"
"08-09-2021","178.91","182.98","182.98","178.10","15.43K","-0.66%"
"07-09-2021","180.09","187.70","187.70","177.95","9.89K","0.22%"
"06-09-2021","179.69","181.98","181.98","177.11","7.09K","0.44%"
"03-09-2021","178.91","183.70","183.70","176.20","9.26K","0.13%"
"02-09-2021","178.68","178.97","180.80","176.15","6.98K","1.44%"
"01-09-2021","176.15","179.70","179.70","173.60","4.74K","0.81%"
"31-08-2021","174.73","184.70","184.70","172.11","5.36K","0.66%"
"30-08-2021","173.59","179.70","179.70","172.27","5.16K","1.01%"
"27-08-2021","171.86","169.81","171.90","167.10","4.17K","1.21%"
"26-08-2021","169.81","170.00","172.00","169.70","7.44K","0.00%"
"25-08-2021","169.81","172.90","172.90","169.80","6.76K","0.26%"
"24-08-2021","169.37","179.70","179.70","169.20","14.04K","-0.59%"
