"Date","Price","Open","High","Low","Vol.","Change %"
"15-02-2021","10,956.05","10,978.70","11,002.80","10,909.95","239.41M","0.40%"
"12-02-2021","10,912.25","10,951.60","10,989.95","10,835.55","292.43M","-0.48%"
"11-02-2021","10,965.25","10,947.50","11,057.10","10,878.35","137.20M","-0.41%"
"10-02-2021","11,010.85","10,922.90","11,049.70","10,822.50","203.31M","0.95%"
"09-02-2021","10,907.60","11,087.40","11,093.15","10,855.25","176.34M","-1.39%"
"08-02-2021","11,061.15","10,830.10","11,077.85","10,818.40","205.15M","3.14%"
"05-02-2021","10,723.95","10,958.90","10,987.05","10,649.00","174.32M","-1.32%"
"04-02-2021","10,867.10","10,763.60","10,988.35","10,732.20","212.14M","1.10%"
"03-02-2021","10,749.15","10,754.00","10,860.05","10,626.45","326.03M","1.04%"
"02-02-2021","10,638.60","10,427.05","10,689.95","10,383.55","378.78M","4.01%"
"01-02-2021","10,227.95","9,919.10","10,262.10","9,726.55","264.25M","4.23%"
"29-01-2021","9,813.15","10,221.85","10,308.90","9,776.90","242.84M","-2.89%"
"28-01-2021","10,105.60","10,065.95","10,312.15","10,056.95","186.62M","-1.02%"
"27-01-2021","10,210.25","10,410.25","10,457.90","10,161.30","212.26M","-2.14%"
"25-01-2021","10,433.50","10,649.80","10,692.15","10,337.40","229.29M","-0.78%"
"22-01-2021","10,515.85","10,414.40","10,780.80","10,398.20","459.98M","1.43%"
"21-01-2021","10,367.75","10,432.55","10,596.90","10,282.25","348.42M","-0.01%"
"20-01-2021","10,369.25","10,140.80","10,387.80","10,118.45","266.69M","2.29%"
"19-01-2021","10,136.80","10,033.35","10,166.20","10,008.75","189.17M","1.76%"
"18-01-2021","9,961.10","10,162.90","10,173.80","9,863.90","243.27M","-2.13%"
"15-01-2021","10,178.30","10,241.70","10,287.45","10,092.05","319.18M","-0.59%"
"14-01-2021","10,238.30","10,237.30","10,285.25","10,148.95","143.82M","0.29%"
"13-01-2021","10,208.55","10,166.15","10,269.90","10,120.25","278.44M","0.88%"
"12-01-2021","10,119.85","9,991.45","10,259.10","9,975.05","524.43M","1.24%"
"11-01-2021","9,995.60","9,789.80","10,028.75","9,693.70","266.78M","2.61%"
"08-01-2021","9,741.25","9,491.45","9,767.10","9,478.30","130.18M","3.30%"
"07-01-2021","9,429.65","9,453.65","9,530.60","9,406.05","162.00M","0.53%"
"06-01-2021","9,379.55","9,424.50","9,484.05","9,279.05","130.19M","-0.39%"
"05-01-2021","9,416.05","9,356.90","9,431.00","9,293.45","136.14M","-0.02%"
"04-01-2021","9,417.95","9,346.15","9,434.35","9,267.50","164.13M","1.57%"
"01-01-2021","9,272.50","9,214.90","9,300.40","9,214.20","79.86M","0.86%"
"31-12-2020","9,193.50","9,174.45","9,216.65","9,155.60","100.83M","0.31%"
"30-12-2020","9,164.80","9,077.15","9,189.95","9,001.40","79.89M","1.34%"
"29-12-2020","9,043.90","9,109.95","9,128.85","8,997.30","113.54M","-0.25%"
"28-12-2020","9,066.85","9,035.85","9,102.70","9,029.35","135.30M","0.99%"
"24-12-2020","8,978.05","8,966.45","9,052.70","8,937.45","118.03M","0.47%"
"23-12-2020","8,935.95","8,825.70","8,955.75","8,786.45","110.98M","1.33%"
"22-12-2020","8,818.60","8,754.40","8,854.40","8,540.95","201.10M","0.84%"
"21-12-2020","8,745.00","9,128.35","9,132.65","8,560.20","153.72M","-4.62%"
"18-12-2020","9,168.65","9,180.25","9,200.85","9,091.80","102.38M","-0.18%"
"17-12-2020","9,185.20","9,265.70","9,288.00","9,146.40","105.38M","-0.58%"
"16-12-2020","9,239.10","9,239.45","9,290.95","9,207.40","158.01M","0.98%"
"15-12-2020","9,149.75","9,078.25","9,168.70","9,052.05","88.26M","0.62%"
