"Date","Price","Open","High","Low","Vol.","Change %"
"08-01-2021","6,389.70","6,384.15","6,410.00","6,351.25","902.33M","1.09%"
"07-01-2021","6,320.70","6,252.25","6,357.50","6,245.00","1.10B","2.08%"
"06-01-2021","6,191.70","6,165.10","6,233.15","6,098.15","1.07B","0.82%"
"05-01-2021","6,141.40","6,051.05","6,151.35","6,020.20","951.25M","0.91%"
"04-01-2021","6,086.25","6,016.15","6,091.70","5,974.10","1.39B","2.02%"
"01-01-2021","5,965.70","5,885.65","5,975.95","5,883.00","955.41M","1.59%"
"31-12-2020","5,872.60","5,828.80","5,882.40","5,810.35","1.29B","0.72%"
"30-12-2020","5,830.55","5,841.25","5,844.20","5,775.30","750.59M","0.28%"
"29-12-2020","5,814.15","5,856.05","5,876.65","5,770.85","721.00M","-0.15%"
"28-12-2020","5,822.80","5,780.80","5,835.10","5,776.25","662.58M","1.42%"
"24-12-2020","5,741.45","5,786.15","5,821.30","5,724.50","836.04M","-0.28%"
"23-12-2020","5,757.45","5,614.05","5,772.15","5,596.10","1.04B","2.84%"
"22-12-2020","5,598.50","5,535.75","5,621.00","5,358.85","1.04B","1.12%"
"21-12-2020","5,536.65","5,836.55","5,856.15","5,427.50","992.04M","-5.54%"
"18-12-2020","5,861.50","5,895.45","5,915.75","5,799.75","683.87M","-0.37%"
"17-12-2020","5,883.20","5,911.55","5,954.55","5,866.80","692.11M","-0.38%"
"16-12-2020","5,905.90","5,868.20","5,921.00","5,864.00","753.34M","1.22%"
"15-12-2020","5,834.75","5,792.30","5,845.75","5,726.75","701.65M","0.77%"
"14-12-2020","5,789.90","5,779.70","5,799.55","5,757.35","684.47M","0.82%"
"11-12-2020","5,742.75","5,741.65","5,786.90","5,699.20","937.32M","0.32%"
"10-12-2020","5,724.45","5,776.30","5,776.30","5,672.15","635.53M","-1.03%"
"09-12-2020","5,783.80","5,798.20","5,816.30","5,770.20","927.14M","0.44%"
"08-12-2020","5,758.30","5,789.70","5,805.00","5,682.70","790.02M","0.05%"
"07-12-2020","5,755.65","5,710.30","5,765.35","5,705.65","672.50M","1.05%"
"04-12-2020","5,696.00","5,698.10","5,737.45","5,628.65","856.64M","0.53%"
"03-12-2020","5,665.70","5,656.40","5,678.75","5,639.95","689.11M","0.93%"
"02-12-2020","5,613.60","5,611.65","5,641.40","5,555.10","774.66M","0.41%"
"01-12-2020","5,590.80","5,604.35","5,604.35","5,543.15","896.25M","0.59%"
"27-11-2020","5,557.90","5,441.60","5,580.10","5,440.65","1.18B","2.70%"
"26-11-2020","5,411.60","5,355.70","5,421.10","5,313.00","777.88M","1.45%"
