"Date","Price","Open","High","Low","Change %"
"29-01-2019","6.964","6.992","7.006","6.964","-0.34%"
"28-01-2019","6.988","6.998","7.030","6.988","-0.16%"
"25-01-2019","6.999","7.031","7.031","6.999","-0.37%"
"24-01-2019","7.025","7.058","7.058","7.025","-0.01%"
"23-01-2019","7.026","7.059","7.059","7.026","0.11%"
"22-01-2019","7.018","7.037","7.037","7.013","-0.14%"
"21-01-2019","7.028","7.084","7.094","7.028","-0.03%"
"18-01-2019","7.030","7.048","7.085","7.030","0.16%"
"17-01-2019","7.019","7.079","7.079","7.019","-0.07%"
"16-01-2019","7.024","6.997","7.089","6.997","0.44%"
"15-01-2019","6.993","7.044","7.113","6.993","0.37%"
"14-01-2019","6.967","7.038","7.038","6.967","-0.47%"
"11-01-2019","7.000","7.037","7.041","7.000","-0.04%"
"10-01-2019","7.003","7.049","7.049","7.003","-0.34%"
"09-01-2019","7.027","7.050","7.050","7.023","0.31%"
"08-01-2019","7.005","7.115","7.115","7.005","-0.79%"
"07-01-2019","7.061","7.075","7.167","7.061","0.24%"
"04-01-2019","7.044","7.030","7.145","7.017","0.14%"
"03-01-2019","7.034","7.102","7.102","7.006","0.64%"
"02-01-2019","6.989","7.012","7.194","6.989","-0.67%"
"01-01-2019","7.036","7.081","7.081","7.036","0.31%"
"31-12-2018","7.014","7.105","7.242","7.014","-0.47%"
"28-12-2018","7.047","7.106","7.243","7.042","0.17%"
"27-12-2018","7.035","7.058","7.085","7.017","0.04%"
"26-12-2018","7.032","7.063","7.086","7.018","-0.47%"
"24-12-2018","7.065","7.051","7.133","7.047","0.68%"
"21-12-2018","7.017","7.076","7.076","7.017","-0.75%"
"20-12-2018","7.070","7.115","7.115","7.070","0.24%"
"19-12-2018","7.053","7.071","7.071","7.053","-0.65%"
"18-12-2018","7.099","7.184","7.184","7.099","-0.77%"
"17-12-2018","7.154","7.230","7.289","7.154","-0.45%"
"14-12-2018","7.186","7.209","7.366","7.186","0.53%"
"13-12-2018","7.148","7.346","7.346","7.148","-0.51%"
"12-12-2018","7.185","7.234","7.234","7.185","-1.01%"
"11-12-2018","7.258","7.483","7.483","7.258","-0.01%"
"10-12-2018","7.259","7.259","7.281","7.250","0.18%"
"07-12-2018","7.246","7.260","7.260","7.246","1.33%"
"06-12-2018","7.151","7.441","7.441","7.151","-0.93%"
"05-12-2018","7.218","7.307","7.307","7.218","-0.93%"
"04-12-2018","7.286","7.487","7.487","7.286","-0.26%"
"03-12-2018","7.305","7.376","7.376","7.305","0.07%"
"30-11-2018","7.300","7.347","7.347","7.300","0.16%"
"29-11-2018","7.288","7.348","7.348","7.288","-0.71%"
"28-11-2018","7.340","7.340","7.340","7.340","-0.38%"
